CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-16 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-17 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-18 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-19 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-20 00:00,m,193,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-21 00:00,m,193,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-22 00:00,m,193,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-23 00:00,m,190,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-24 00:00,m,190,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-25 00:00,m,190,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-26 00:00,m,190,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-27 00:00,m,186,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-28 00:00,m,186,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-29 00:00,m,186,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-30 00:00,m,186,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-03-31 00:00,m,186,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-01 00:00,m,183,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-02 00:00,m,183,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-03 00:00,m,183,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-04 00:00,m,183,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-05 00:00,m,180,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-06 00:00,m,180,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-07 00:00,m,180,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-08 00:00,m,180,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-09 00:00,m,180,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-10 00:00,m,177,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-11 00:00,m,177,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-12 00:00,m,177,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-13 00:00,m,177,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-14 00:00,m,177,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-15 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-16 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-17 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-18 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-19 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-20 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-21 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-22 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-23 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-24 00:00,m,174,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-25 00:00,m,180,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-26 00:00,m,183,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-27 00:00,m,186,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-28 00:00,m,193,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-29 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-04-30 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-01 00:00,m,196,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-02 00:00,m,227,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-03 00:00,m,234,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-04 00:00,m,243,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-05 00:00,m,250,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-06 00:00,m,255.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-07 00:00,m,266,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-08 00:00,m,274,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-09 00:00,m,282,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-10 00:00,m,289,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-11 00:00,m,296,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-12 00:00,m,302,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-13 00:00,m,309,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-14 00:00,m,311,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-15 00:00,m,315,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-16 00:00,m,318,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-17 00:00,m,333,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-18 00:00,m,340,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-19 00:00,m,343,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-20 00:00,m,346,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-21 00:00,m,346,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-22 00:00,m,346,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-23 00:00,m,349,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-24 00:00,m,349,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-25 00:00,m,349,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-26 00:00,m,352,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-27 00:00,m,349,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-28 00:00,m,352,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-29 00:00,m,355,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-30 00:00,m,358,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-05-31 00:00,m,358,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-01 00:00,m,358,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-02 00:00,m,364,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-03 00:00,m,374,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-04 00:00,m,381.636363636364,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-05 00:00,m,386,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-06 00:00,m,390,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-07 00:00,m,393,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-08 00:00,m,399,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-09 00:00,m,402,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-10 00:00,m,406.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-11 00:00,m,411.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-12 00:00,m,419.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-13 00:00,m,424,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-14 00:00,m,430,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-15 00:00,m,436,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-16 00:00,m,440,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-17 00:00,m,443,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-18 00:00,m,443,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-19 00:00,m,446,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-20 00:00,m,452,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-21 00:00,m,455,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-22 00:00,m,458.75,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-23 00:00,m,461,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-24 00:00,m,460,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-25 00:00,m,468,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-26 00:00,m,469,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-27 00:00,m,472,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-28 00:00,m,474,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-29 00:00,m,474,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-06-30 00:00,m,474,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-01 00:00,m,474,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-02 00:00,m,475.363636363636,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-03 00:00,m,477.2,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-04 00:00,m,482,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-05 00:00,m,485,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-06 00:00,m,487.818181818182,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-07 00:00,m,490,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-08 00:00,m,490,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-09 00:00,m,490,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-10 00:00,m,490,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-11 00:00,m,491,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-12 00:00,m,490.500000000002,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-13 00:00,m,488,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-14 00:00,m,488.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-15 00:00,m,490.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-16 00:00,m,491,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-17 00:00,m,492.5,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-18 00:00,m,493,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-19 00:00,m,494,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-20 00:00,m,493,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-21 00:00,m,493,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-22 00:00,m,497,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-23 00:00,m,501.833333333333,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-24 00:00,m,504,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-25 00:00,m,509.25,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-26 00:00,m,511,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-27 00:00,m,511,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-28 00:00,m,511,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-29 00:00,m,511.666666666667,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-30 00:00,m,513,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-07-31 00:00,m,511,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-01 00:00,m,510,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-02 00:00,m,508,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-03 00:00,m,505,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-04 00:00,m,504,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-05 00:00,m,510.666666666667,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-06 00:00,m,515,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-07 00:00,m,515,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-08 00:00,m,515,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-09 00:00,m,516,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-08-10 00:00,m,521,Definitivo
